episode_id,query0,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14,query15,query16,query17,query18,query19,query20,query21,query22,query23,query24,query25,query26,query27,query28,query29,query30,query31,query32,query33,query34,query35,query36,query37,query38,query39,query40,query41,query42,query43,query44,query45,query46,query47,query48,query49,query50,query51,query52,query53,query54,query55,query56,query57,query58,query59,query60,query61,query62,query63,query64,query65,query66,query67,query68,query69,query70,query71,query72,query73,query74
0,4,4,4,0,3,1,4,3,0,0,2,3,2,2,1,4,0,1,4,4,4,2,2,4,3,3,3,3,4,3,4,3,4,0,4,4,4,0,1,0,1,0,1,0,4,4,2,0,3,0,4,4,4,0,4,0,0,4,2,1,4,4,0,4,3,4,3,3,0,0,4,0,0,4,3
1,2,3,4,4,2,4,0,3,3,3,0,0,1,3,4,3,2,0,2,4,3,3,4,2,2,1,2,0,3,3,2,2,2,0,0,2,4,1,3,3,3,0,3,4,0,0,3,0,3,3,3,3,3,4,2,4,0,2,3,0,2,3,2,0,1,1,0,0,3,3,3,0,2,3,3
2,2,3,1,1,4,3,4,3,2,4,3,3,1,3,3,3,4,1,3,3,2,3,1,1,0,1,1,1,1,1,1,3,2,3,3,2,2,2,3,3,4,3,1,4,0,3,0,3,3,4,1,3,4,1,0,2,1,0,3,1,2,4,2,3,3,3,4,3,1,2,4,3,4,3,0
3,4,4,1,4,1,0,3,3,4,0,1,1,2,1,1,4,3,0,1,2,0,2,0,1,4,3,4,1,2,1,2,4,3,2,2,1,2,1,3,4,1,1,1,1,2,3,1,1,4,1,1,3,2,2,1,2,2,3,4,1,0,1,3,1,1,4,2,1,3,1,1,4,4,2,2
4,3,4,3,4,3,2,2,3,4,3,3,3,4,1,4,2,4,4,3,4,1,1,2,4,2,2,4,4,4,3,3,4,2,0,1,3,2,4,4,1,3,3,1,2,3,2,1,3,2,3,1,4,3,1,4,3,4,1,4,4,4,3,3,1,4,4,4,1,1,3,3,2,4,4,1
5,3,3,0,3,2,4,1,0,2,3,1,0,0,1,1,1,3,0,1,3,3,2,3,3,3,3,3,0,2,1,1,2,3,0,3,0,1,2,3,3,3,0,0,2,0,1,2,3,4,3,0,3,2,2,2,2,0,0,1,3,3,3,1,0,1,3,1,1,0,1,2,1,3,3,1
6,0,0,4,0,1,1,4,3,1,3,3,1,1,0,4,0,1,2,3,3,4,4,0,4,3,0,0,3,2,1,0,4,3,3,3,3,0,1,4,1,2,3,4,3,4,0,3,3,0,3,0,4,3,1,0,0,4,0,2,1,4,3,4,0,1,0,3,3,1,4,1,0,0,0,4
7,2,4,0,3,4,0,4,0,1,1,2,1,0,3,1,2,2,0,1,3,2,1,1,2,4,2,0,0,1,0,3,4,0,0,3,1,4,1,0,1,0,4,2,4,4,0,1,1,3,0,0,0,2,3,4,0,2,2,1,0,0,3,1,3,1,3,0,4,0,4,4,0,2,2,2
8,4,3,1,3,3,0,3,1,2,3,2,1,3,1,1,3,4,1,1,4,3,3,0,1,1,0,1,0,0,1,1,1,3,3,1,1,3,3,3,0,1,3,1,3,0,0,0,0,4,0,3,0,2,3,3,3,3,0,3,3,1,4,3,1,3,0,3,1,1,4,3,3,0,4,0
9,4,3,3,2,3,2,0,4,3,0,2,3,3,2,3,0,2,0,1,0,3,2,0,1,4,4,2,2,2,4,2,1,4,2,3,3,4,0,1,3,2,2,3,3,3,2,3,3,3,4,3,3,0,0,3,0,2,0,4,1,4,4,0,1,2,3,4,3,0,3,2,1,0,2,0
10,1,4,0,3,2,0,3,4,3,0,3,3,2,4,1,4,3,3,1,3,3,4,3,3,1,1,1,2,3,0,1,2,2,2,1,0,3,3,3,0,3,1,3,2,2,1,0,1,3,4,3,2,0,3,4,2,3,0,4,0,1,2,1,2,2,4,1,3,4,4,1,4,0,3,3
11,4,1,4,4,4,2,1,4,1,1,1,3,4,1,1,2,1,1,4,0,4,2,3,1,1,2,4,0,2,4,0,4,1,2,4,1,2,1,4,2,4,1,4,1,4,1,4,4,2,2,4,1,4,4,1,4,4,4,1,1,4,1,4,1,3,1,1,1,1,2,1,4,0,4,4
